uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
501257-NH654227,501257,Restoration at Aberarder Estate (MDMG),Restoration,NH654227,265400,822700,Aberarder Estate - ABR4,,18/11/2019,29/11/2019,2019-20,South Highland,Lochaber & Skye,Private
501258-NH792092,501258,Restoration at Dunachton and Kincraig Estate (MDMG),Restoration,NH792092,279200,809200,Dunachton and Kincraig Estate - DUNACHTON 3,,,,2019-20,South Highland,Lochaber & Skye,Private
501264-NN646991,501264,Restoration at Cluny Estate (MDMG),Restoration,NN646991,264600,799100,Cluny Estate - CLN2,,,,2019-20,South Highland,Lochaber & Skye,Private
501279-NN4008574944,501279,Restoration on Corrour Stage 1,Restoration,NN4008574944,240085,774944,Sron nan Creagan,,,,2019-20,South Highland,Lochaber & Skye,Private
501279-NN3693163534,501279,Restoration on Corrour Stage 1,Restoration,NN3693163534,236931,763534,Blackwater1,,,,2019-20,South Highland,Lochaber & Skye,Private
501287-NH1526804185,501287,Restoration on East Glenquoich,Restoration,NH1526804185,215268,804185,East Glenquoich (Compartment 1 North),,,,2019-20,South Highland,Lochaber & Skye,Private
501287-NH1540201646,501287,Restoration on East Glenquoich,Restoration,NH1540201646,215402,801646,East Glenquoich (Compartment 2 South),FES - Scotland,,,2019-20,South Highland,Lochaber & Skye,Private
501288-NM83296373,501288,FES Various Sites (Tranches 4-6) (New app submitted for these see also 501144),Restoration,NM83296373,183290,763730,Ariundle Strontian,FES - Scotland,21/11/2018,29/01/2019,2019-20,South Highland,Lochaber & Skye,Public
501288-NN19137884,501288,FES Various Sites (Tranches 4-6) (New app submitted for these see also 501144),Restoration,NN19137884,219130,778840,Leanachan,FES - Scotland,17/10/2019,31/07/2020,2019-20,South Highland,Lochaber & Skye,Public
501288-NG72372258,501288,FES Various Sites (Tranches 4-6) (New app submitted for these see also 501144),Restoration,NG72372258,172370,822580,Kyle Farm I,FES - Scotland,,,2019-20,South Highland,Lochaber & Skye,Public
501288-NG72162545,501288,FES Various Sites (Tranches 4-6) (New app submitted for these see also 501144),Restoration,NG72162545,172160,825450,Kyle Farm II,FES - Scotland,,,2019-20,South Highland,Lochaber & Skye,Public
501296-NG558212,501296,Strathaird Forest to Bog Restoration,Restoration,NG558212,155800,821200,Faoilean,Strathaird (Skye),,,2020-21,South Highland,Lochaber & Skye,NGO
501299-NG992051,501299,Restoration on Quoich Coire nan Eiricheallach,Restoration,NG992051,199200,805100,Quoich Coire nan Eiricheallach,Lude and Invergarry,,,2019-20,South Highland,Lochaber & Skye,Private
501612-NH750097,501612,Balavil Estate - Restoration on Balavil Estate 2020-21 (MDMG),Restoration,NH750097,275000,809700,BLV4,,,,2020-21,,Lochaber & Skye,Private
